ORD	Char	%	Área	Grayscale
181	µ	73,39%	1457,5690	68
36	$	73,90%	1467,6179	67
1084	м	74,05%	1470,6515	66
916	Δ	74,65%	1482,4628	65
82	R	75,07%	1490,8455	64
195	Ã	75,28%	1494,9749	63
337	ő	75,67%	1502,8362	62
68	D	76,25%	1514,2297	61
227	ã	76,40%	1517,2614	60
112	p	77,06%	1530,3032	59
57	9	77,33%	1535,6815	58
78	N	77,84%	1545,9000	57
37	%	78,23%	1553,6505	56
969	ω	78,44%	1557,7017	55
48	0	78,75%	1563,9950	54
98	b	79,30%	1574,8290	53
100	d	79,44%	1577,6250	52
1062	Ц	80,18%	1592,4165	51
934	Φ	80,58%	1600,3702	50
167	§	80,83%	1605,2125	49
77	M	81,21%	1612,8921	48
284	Ĝ	81,41%	1616,8499	47
230	æ	81,98%	1628,1660	46
336	Ő	82,33%	1635,1014	45
920	Θ	82,74%	1643,2172	44
169	©	83,20%	1652,2880	43
81	Q	83,47%	1657,5893	42
212	Ô	83,76%	1663,4543	41
339	œ	84,73%	1682,7140	40
56	8	84,82%	1684,5555	39
213	Õ	85,28%	1693,7270	38
1073	б	85,63%	1700,6161	37
1046	Ж	85,69%	1701,8289	36
103	g	86,17%	1711,2410	35
325	Ņ	86,81%	1723,9660	34
1097	щ	86,98%	1727,3854	33
958	ξ	87,45%	1736,8157	32
64	@	87,84%	1744,5021	31
968	ψ	88,22%	1752,0531	30
254	Þ	88,72%	1761,8577	29
190	¾	89,11%	1769,6249	28
209	Ñ	89,34%	1774,3024	27
330	Ŋ	89,75%	1782,3552	26
330	Ŋ	89,75%	1782,3552	25
330	Ŋ	89,75%	1782,3552	24
372	Ŵ	91,25%	1812,1387	23
372	Ŵ	91,25%	1812,1387	22
1064	Ш	91,65%	1820,1181	21
289	ġ	92,07%	1828,5263	20
216	Ø	92,27%	1832,4664	19
1106	ђ	92,52%	1837,3679	18
291	ģ	93,21%	1851,0266	17
1044	Д	94,11%	1869,0665	16
1044	Д	94,11%	1869,0665	15
1044	Д	94,11%	1869,0665	14
1044	Д	94,11%	1869,0665	13
952	θ	94,43%	1875,4274	12
952	θ	94,43%	1875,4274	11
952	θ	94,43%	1875,4274	10
1092	ф	97,23%	1930,9482	9
1092	ф	97,23%	1930,9482	8
1092	ф	97,23%	1930,9482	7
966	φ	97,52%	1936,6421	6
38	&	97,90%	1944,1740	5
510	Ǿ	98,01%	1946,5284	4
1070	Ю	98,64%	1959,0130	3
285	ĝ	98,92%	1964,5417	2
946	β	99,74%	1980,7702	1
1065	Щ	100,00%	1985,9623	0
